rank,daily,title,date,thumbnail
1,141080,キティ / 25時、ナイトコードで。 × 鏡音レン,2023-04-30,https://i.ytimg.com/vi/l-OtSO4dsLM/default.jpg
2,42784,バグ / 25時、ナイトコードで。 × 鏡音レン,2022-06-15,https://i.ytimg.com/vi/2Ii7UBMxWVw/default.jpg
3,30183,『ザムザ』3DMVゲームサイズ公開！,2023-03-28,https://i.ytimg.com/vi/N9PnTzC20D0/default.jpg
4,28109,Mr. Showtime / ワンダーランズ×ショウタイム × 巡音ルカ,2023-03-11,https://i.ytimg.com/vi/jSL3Q2BHtH4/default.jpg
5,27694,ひつじがいっぴき  / Vivid BAD SQUAD × MEIKO,2023-03-01,https://i.ytimg.com/vi/QkF12S1QCxc/default.jpg
6,25859,『ももいろの鍵』3DMVゲームサイズ公開！,2023-05-08,https://i.ytimg.com/vi/LqPYSFgWG3g/default.jpg
7,23769,Be The MUSIC! / 「All Music MIKUdemy」一同,2023-04-01,https://i.ytimg.com/vi/mZI9HEVh6Yw/default.jpg
8,23259,ロウワー / 25時、ナイトコードで。 × MEIKO,2021-11-16,https://i.ytimg.com/vi/16M9oC-a5bY/default.jpg
9,20468,Iなんです / 25時、ナイトコードで。 × 初音ミク,2022-11-20,https://i.ytimg.com/vi/lMXlOPGjwUI/default.jpg
10,19630,徳川カップヌードル禁止令 / 草薙寧々 & ネネロボ × ミクダヨー & 鏡音レン & KAITO,2022-03-16,https://i.ytimg.com/vi/jPXAgWkqbo4/default.jpg
11,18233,トンデモワンダーズ / ワンダーランズ×ショウタイム × KAITO,2022-10-26,https://i.ytimg.com/vi/ZfVWqos23xs/default.jpg
12,15062,アイデンティティ / 宵崎 奏 × 初音ミク,2022-04-15,https://i.ytimg.com/vi/YsSShYaKOvk/default.jpg
13,14990,シネマ / Vivid BAD SQUAD × KAITO,2021-08-17,https://i.ytimg.com/vi/8m1cUgLepmY/default.jpg
14,13805,DAYBREAK FRONTLINE / Vivid BAD SQUAD × 初音ミク,2023-02-17,https://i.ytimg.com/vi/LTNhnSYd5CU/default.jpg
15,13539,てらてら / Leo/need × 初音ミク,2022-07-21,https://i.ytimg.com/vi/diDsFjpV8yw/default.jpg
16,11980,1周年アニバーサリーソング『群青讃歌』,2022-09-29,https://i.ytimg.com/vi/MxT59XJXMnU/default.jpg
17,11714,Flyer! / Vivid BAD SQUAD × 鏡音レン,2022-10-05,https://i.ytimg.com/vi/gr4FAlsibeg/default.jpg
18,11676,ビターチョコデコレーション / 25時、ナイトコードで。 × 初音ミク,2022-12-26,https://i.ytimg.com/vi/eWBjxT54RQA/default.jpg
19,11550,オルターエゴ / Vivid BAD SQUAD × 初音ミク,2022-12-22,https://i.ytimg.com/vi/y_lZimJsdjU/default.jpg
20,11516,2周年アニバーサリーソング『Journey』,2022-09-29,https://i.ytimg.com/vi/m__WcDdaF7k/default.jpg
21,10483,アイディスマイル / 25時、ナイトコードで。 × MEIKO,2022-10-04,https://i.ytimg.com/vi/JTOM6fuXptg/default.jpg
22,10250,月光 / Vivid BAD SQUAD × MEIKO,2022-05-20,https://i.ytimg.com/vi/E5Wu8Ir6kdQ/default.jpg
23,9915,虚ろを扇ぐ / Vivid BAD SQUAD × KAITO,2022-09-06,https://i.ytimg.com/vi/MnZfL-cwUCA/default.jpg
24,9794,イフ / MORE MORE JUMP！ × 初音ミク,2022-09-30,https://i.ytimg.com/vi/egAHniCboNQ/default.jpg
25,9703,少女レイ / MORE MORE JUMP！ × 初音ミク,2022-07-17,https://i.ytimg.com/vi/3VT85q-E-UU/default.jpg
