video_id,title,published_at,default_thumbnail_url,large_thumbnail_url
JluOv0KD9Wc,乙女解剖 / 25時、ナイトコードで。 × 初音ミク,2022-01-14T12:51:09Z,https://i.ytimg.com/vi/JluOv0KD9Wc/default.jpg,https://i.ytimg.com/vi/JluOv0KD9Wc/hqdefault.jpg
YsSShYaKOvk,アイデンティティ / 宵崎 奏 × 初音ミク,2022-04-15T08:09:11Z,https://i.ytimg.com/vi/YsSShYaKOvk/default.jpg,https://i.ytimg.com/vi/YsSShYaKOvk/hqdefault.jpg
X_u5UtcgrKw,ミライ / Vivid BAD SQUAD × 巡音ルカ,2021-12-22T07:30:17Z,https://i.ytimg.com/vi/X_u5UtcgrKw/default.jpg,https://i.ytimg.com/vi/X_u5UtcgrKw/hqdefault.jpg
B45Q1AbiBWg,KING / 天馬 司、神代 類（ワンダーランズ×ショウタイム）,2022-01-26T05:46:42Z,https://i.ytimg.com/vi/B45Q1AbiBWg/default.jpg,https://i.ytimg.com/vi/B45Q1AbiBWg/hqdefault.jpg
aO_ZCaoojh4,ワールドワイドワンダー / MORE MORE JUMP！ × KAITO,2021-12-22T07:32:24Z,https://i.ytimg.com/vi/aO_ZCaoojh4/default.jpg,https://i.ytimg.com/vi/aO_ZCaoojh4/hqdefault.jpg
UyDytd1EZSk,トラフィック・ジャム / Vivid BAD SQUAD × 鏡音リン,2022-01-17T09:08:08Z,https://i.ytimg.com/vi/UyDytd1EZSk/default.jpg,https://i.ytimg.com/vi/UyDytd1EZSk/hqdefault.jpg
16M9oC-a5bY,ロウワー / 25時、ナイトコードで。 × MEIKO,2021-11-16T09:40:21Z,https://i.ytimg.com/vi/16M9oC-a5bY/default.jpg,https://i.ytimg.com/vi/16M9oC-a5bY/hqdefault.jpg
B1nUc7LfZYA,"Hello,world! / Leo/need × 初音ミク",2021-10-14T01:12:41Z,https://i.ytimg.com/vi/B1nUc7LfZYA/default.jpg,https://i.ytimg.com/vi/B1nUc7LfZYA/hqdefault.jpg
YkP0JMByjRM,ray / Leo/need × 初音ミク,2021-10-12T09:13:30Z,https://i.ytimg.com/vi/YkP0JMByjRM/default.jpg,https://i.ytimg.com/vi/YkP0JMByjRM/hqdefault.jpg
hZgbqUQI64E,流星のパルス / Leo/need × MEIKO,2021-09-19T12:23:01Z,https://i.ytimg.com/vi/hZgbqUQI64E/default.jpg,https://i.ytimg.com/vi/hZgbqUQI64E/hqdefault.jpg
fzRWpcvPJYo,magic number / バーチャル・シンガーver.（初音ミク）,2021-09-07T02:54:07Z,https://i.ytimg.com/vi/fzRWpcvPJYo/default.jpg,https://i.ytimg.com/vi/fzRWpcvPJYo/hqdefault.jpg
